lon,lat,elevation,som,moisture,temp,B01_1,B02_1,B03_1,B04_1,B05_1,B06_1,B07_1,B08_1,B09_1,B11_1,B12_1,B8A_1
142.1308835,-36.74636285,423.88,2.48,28.8,74.2,1712.0,1674.0,1847.0,1971.0,2368.0,2880.0,2880.0,3503.0,3840.0,4032.0,3136.0,3520.0
142.1308228,-36.74638802,424.21,2.68,27.25,74.53,1712.0,2069.0,2314.0,2621.0,3008.0,3136.0,3520.0,3962.0,3840.0,4416.0,3520.0,3648.0
142.1307635,-36.74641532,424.21,2.68,29.93,74.43,1712.0,2069.0,2314.0,2621.0,3008.0,3136.0,3520.0,3962.0,3840.0,4416.0,3520.0,3648.0
142.1307041,-36.74644272,424.21,2.735,31.9,74.35,1712.0,1936.0,2211.0,2587.0,3008.0,3136.0,3520.0,3261.0,3840.0,4416.0,3520.0,3648.0
142.1306447,-36.74647002,424.21,2.59,30.5,73.95,1712.0,1687.0,1778.0,2094.0,2240.0,2624.0,2752.0,2592.0,3328.0,3520.0,2752.0,3008.0
142.1305851,-36.74649712,424.21,2.615,29.32,73.93,1712.0,1687.0,1778.0,2094.0,2240.0,2624.0,2752.0,2592.0,3328.0,3520.0,2752.0,3008.0
142.1305258,-36.74652422,423.88,2.78,30.23,73.88,1712.0,1519.0,1599.0,1740.0,2240.0,2624.0,2752.0,2681.0,3328.0,3520.0,2752.0,3008.0
142.1304662,-36.74655142,423.88,2.7,28.93,73.63,1712.0,1519.0,1599.0,1740.0,2240.0,2624.0,2752.0,2681.0,3328.0,3520.0,2752.0,3008.0
142.1304069,-36.74657862,423.88,2.845,31.82,72.48,1712.0,1409.0,1501.0,1568.0,1856.0,2496.0,2624.0,2957.0,3328.0,3136.0,2240.0,3008.0
142.1303465,-36.7466047,423.88,2.83,31.73,72.3,1712.0,1409.0,1501.0,1568.0,1856.0,2496.0,2624.0,2957.0,3328.0,3136.0,2240.0,3008.0
142.1302868,-36.74663171,423.88,2.705,30.2,73.13,1712.0,1347.0,1490.0,1471.0,1856.0,2496.0,2624.0,3030.0,3328.0,3136.0,2240.0,3008.0
142.1302343,-36.74666856,423.56,2.645,29.15,73.03,1712.0,1347.0,1490.0,1471.0,1856.0,2496.0,2624.0,3030.0,3328.0,3136.0,2240.0,3008.0
142.1301795,-36.74670778,423.88,2.665,28.38,73.0,1744.0,1434.0,1654.0,1685.0,2496.0,3136.0,3520.0,3695.0,3328.0,4032.0,3008.0,3648.0
142.1301151,-36.74672741,423.88,2.895,27.8,72.03,1744.0,1434.0,1654.0,1685.0,2496.0,3136.0,3520.0,3695.0,3328.0,4032.0,3008.0,3648.0
142.1300392,-36.74671376,423.88,2.665,29.85,71.5,1744.0,1705.0,1957.0,2080.0,2496.0,3136.0,3520.0,4074.0,3328.0,4032.0,3008.0,3648.0
142.129966,-36.7467234,423.56,2.77,29.23,72.08,1776.0,1870.0,2163.0,2392.0,3008.0,3264.0,3392.0,3581.0,3840.0,4672.0,3904.0,3776.0
142.1299245,-36.74677161,423.56,2.705,30.68,72.68,1776.0,1870.0,2163.0,2392.0,3008.0,3264.0,3392.0,3581.0,3840.0,4672.0,3904.0,3776.0
142.1298678,-36.74680341,423.88,2.62,25.68,72.58,1776.0,1962.0,2221.0,2535.0,3008.0,3264.0,3392.0,3455.0,3840.0,4672.0,3904.0,3776.0
142.1298046,-36.74682441,423.88,2.79,27.4,70.6,1776.0,1962.0,2221.0,2535.0,3008.0,3264.0,3392.0,3455.0,3840.0,4672.0,3904.0,3776.0
142.1297424,-36.74684746,423.88,2.915,24.48,70.68,1776.0,2003.0,2232.0,2636.0,3136.0,3264.0,3520.0,3530.0,3840.0,5056.0,4160.0,3648.0
142.1296796,-36.74686952,423.88,2.885,27.15,70.63,1776.0,2003.0,2232.0,2636.0,3136.0,3264.0,3520.0,3530.0,3840.0,5056.0,4160.0,3648.0
142.1296138,-36.74688528,424.21,2.69,24.9,71.48,1776.0,1994.0,2336.0,2730.0,3136.0,3264.0,3520.0,3585.0,3840.0,5056.0,4160.0,3648.0
142.1295535,-36.74691182,424.21,2.52,26.0,70.83,1776.0,1994.0,2336.0,2730.0,3136.0,3264.0,3520.0,3585.0,3840.0,5056.0,4160.0,3648.0
142.1294901,-36.7469327,424.21,2.63,22.57,72.0,1808.0,2072.0,2263.0,2729.0,3136.0,3264.0,3392.0,3519.0,3840.0,5056.0,4160.0,3776.0
